track 0 0 0
track 0 1 0
track 0 2 0
track 0 3 0
track 0 4 0
track 0 5 0
track 0 6 0
track 0 7 0
track 0 8 0
track 0 9 0
track 1 0 0
track 1 1 0
track 1 2 0
track 1 3 0
track 1 4 0
track 1 5 0
track 1 6 0
track 1 7 0
track 1 8 0
track 1 9 0
track 2 0 0
track 2 1 0
track 2 2 0
track 2 3 0
track 2 4 0
track 2 5 0
track 2 6 0
track 2 7 0
track 2 8 0
track 2 9 0
track 3 0 0
track 3 1 0
track 3 2 0
track 3 3 0
track 3 4 0
track 3 5 0
track 3 6 0
track 3 7 0
track 3 8 0
track 3 9 0
track 4 0 0
track 4 1 0
track 4 2 0
track 4 3 0
track 4 4 0
track 4 5 0
track 4 6 0
track 4 7 0
track 4 8 0
track 4 9 0
track 5 0 0
track 5 1 0
track 5 2 0
track 5 3 0
track 5 4 0
track 5 5 0
track 5 6 0
track 5 7 0
track 5 8 0
track 5 9 0
track 6 0 0
track 6 1 0
track 6 2 0
track 6 3 0
track 6 4 0
track 6 5 0
track 6 6 0
track 6 7 0
track 6 8 0
track 6 9 0
track 7 0 0
track 7 1 0
track 7 2 0
track 7 3 0
track 7 4 0
track 7 5 0
track 7 6 0
track 7 7 0
track 7 8 0
track 7 9 0
track 8 0 0
track 8 1 0
track 8 2 0
track 8 3 0
track 8 4 0
track 8 5 0
track 8 6 0
track 8 7 0
track 8 8 0
track 8 9 0
track 9 0 0
track 9 1 0
track 9 2 0
track 9 3 0
track 9 4 0
track 9 5 0
track 9 6 0
track 9 7 0
track 9 8 0
track 9 9 0
