calo 0 0 0 0
calo 0 1 0 0
calo 0 2 0 0
calo 0 3 0 0
calo 0 4 0 0
calo 0 5 0 0
calo 0 6 0 0
calo 0 7 0 0
calo 0 8 0 0
calo 0 9 0 0
calo 1 0 0 0
calo 1 1 0 0
calo 1 2 0 0
calo 1 3 0 0
calo 1 4 0 0
calo 1 5 0 0
calo 1 6 0 0
calo 1 7 0 0
calo 1 8 0 0
calo 1 9 0 0
calo 2 0 0 0
calo 2 1 0 0
calo 2 2 0 0
calo 2 3 0 0
calo 2 4 0 0
calo 2 5 0 0
calo 2 6 0 0
calo 2 7 0 0
calo 2 8 0 0
calo 2 9 0 0
calo 3 0 0 0
calo 3 1 0 0
calo 3 2 0 0
calo 3 3 0 0
calo 3 4 0 0
calo 3 5 0 0
calo 3 6 0 0
calo 3 7 0 0
calo 3 8 0 0
calo 3 9 0 0
calo 4 0 0 0
calo 4 1 0 0
calo 4 2 0 0
calo 4 3 0 0
calo 4 4 0 0
calo 4 5 0 0
calo 4 6 0 0
calo 4 7 0 0
calo 4 8 0 0
calo 4 9 0 0
calo 5 0 0 0
calo 5 1 0 0
calo 5 2 0 0
calo 5 3 0 0
calo 5 4 0 0
calo 5 5 0 0
calo 5 6 0 0
calo 5 7 0 0
calo 5 8 0 0
calo 5 9 0 0
calo 6 0 0 0
calo 6 1 0 0
calo 6 2 0 0
calo 6 3 0 0
calo 6 4 0 0
calo 6 5 0 0
calo 6 6 0 0
calo 6 7 0 0
calo 6 8 0 0
calo 6 9 0 0
calo 7 0 0 0
calo 7 1 0 0
calo 7 2 0 0
calo 7 3 0 0
calo 7 4 0 0
calo 7 5 0 0
calo 7 6 0 0
calo 7 7 0 0
calo 7 8 0 0
calo 7 9 0 0
calo 8 0 0 0
calo 8 1 0 0
calo 8 2 0 0
calo 8 3 0 0
calo 8 4 0 0
calo 8 5 0 0
calo 8 6 0 0
calo 8 7 0 0
calo 8 8 0 0
calo 8 9 0 0
calo 9 0 0 0
calo 9 1 0 0
calo 9 2 0 0
calo 9 3 0 0
calo 9 4 0 0
calo 9 5 0 0
calo 9 6 0 0
calo 9 7 0 0
calo 9 8 0 0
calo 9 9 0 0
